date,total,cyber,fintech,health,media,hardware,defence,automotive,gaming,public,industrial,retail,agritech,foodtech,rd,product,data,design,sales,marketing,operations,support,management,intern,remote,hybrid,onsite,linkedin,comeet,greenhouse,lever,ashby,workable
2026-04-20,2465,,,,,,,,,,,,,,979,118,47,52,104,80,106,47,160,33,454,866,1145,939,1301,197,,,
2026-04-21,1672,,,,,,,,,,,,,,658,80,36,41,93,53,68,49,115,21,308,568,796,120,1303,197,,,
2026-04-21,1675,,,,,,,,,,,,,,655,81,36,41,92,53,68,49,115,21,310,568,797,120,1305,198,,,
2026-04-21,1675,,,,,,,,,,,,,,655,81,36,41,92,53,68,49,115,21,310,568,797,120,1305,198,,,
2026-04-21,1675,,,,,,,,,,,,,,655,81,36,41,92,53,68,49,115,21,310,568,797,120,1305,198,,,
2026-04-22,1663,,,,,,,,,,,,,,660,78,35,39,93,51,68,47,117,21,313,576,774,100,1313,197,,,
2026-04-23,2392,,,,,,,,,,,,,,882,130,52,44,110,71,98,59,157,39,509,853,1030,829,1318,194,,,
2026-04-24,2123,,,,,,,,,,,,,,801,104,43,42,100,68,90,54,144,35,434,751,938,641,1239,194,,,
2026-04-25,1942,,,,,,,,,,,,,,780,76,37,41,92,62,73,51,121,22,457,613,872,460,1239,194,,,
2026-04-26,1937,,,,,,,,,,,,,,777,74,37,40,93,62,71,50,124,22,457,613,867,460,1236,192,,,
2026-04-27,2223,,,,,,,,,,,,,,829,102,45,46,92,70,89,53,163,26,424,781,1018,763,1221,190,,,
2026-04-28,2299,,,,,,,,,,,,,,889,106,34,40,104,69,102,55,158,20,504,779,1016,839,1223,188,,,
2026-04-29,2295,,,,,,,,,,,,,,926,108,37,46,89,85,93,48,151,35,442,782,1071,826,1230,189,,,
2026-04-30,2263,,,,,,,,,,,,,,883,96,40,45,95,79,97,51,152,29,460,764,1039,800,1222,192,,,
2026-05-01,2294,,,,,,,,,,,,,,843,108,43,47,89,76,105,50,164,23,428,791,1075,835,1219,192,,,
2026-05-02,2293,,,,,,,,,,,,,,841,108,43,47,89,76,105,50,164,23,428,790,1075,835,1218,192,,,
2026-05-03,1723,,,,,,,,,,,,,,708,68,33,43,73,48,68,48,131,16,376,570,777,280,1213,181,,,
2026-05-04,11373,,,,,,,,,,,,,,3948,546,183,191,437,425,730,185,556,261,603,1325,9445,0,0,0,,,
<<<<<<< Updated upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< Updated upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< Updated upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> Stashed changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> Stashed changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> Stashed changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,2248,50,38,20,2,28,28,2,0,0,5,0,0,1,892,90,35,51,88,72,104,58,155,19,368,808,1072,813,1200,186,49,0,0
